ABLE7;AT16;CTRATIO;ETOT;FEMALE;LOGINC;N;OLDSIB;YNGSIB;SCHOOL
17.5;3;15.125;7;0;3.960813;1035;0;1;0
87.5;1;16.85366;9;0;3.806663;1037;0;1;1
90;2;21.8;8;1;3.314186;1039;0;1;0
70;3;15.64516;1;1;3.48124;1041;1;2;0
80;2;21;9;0;3.749504;1043;1;1;0
47.5;3;20.3871;0;1;2.995732;1045;1;1;0
77.5;1;16.94737;8;0;3.688879;1047;1;0;1
22.5;3;15.73913;6;1;3.401197;1049;0;1;0
90;1;18.54286;10;1;3.218876;1051;2;4;1
87.5;2;18.29091;6;0;3.960813;1053;3;2;0
52.5;2;17.41379;0;0;3.688879;1055;0;1;0
82.5;2;20.71428;11;1;3.806663;1057;0;0;0
72.5;3;17.98462;11;1;3.960813;1059;1;0;0
62.5;2;19.69697;4;0;3.417727;1061;0;3;0
87.5;2;20.40909;8;1;3.713572;1063;0;1;0
85;3;16;0;1;3.806663;1065;0;0;0
62.5;3;19.69697;0;1;4.051785;1067;1;0;0
82.5;2;18.27586;7;1;3.401197;1069;0;2;0
65;2;17.33333;4;0;3.86073;1071;0;1;0
67.5;3;17.12;7;0;3.555348;1073;0;1;0
75;3;15.23077;2;0;4.15104;1075;1;1;0
95;3;16.80392;8;1;3.314186;1077;0;0;0
80;3;16.375;5;1;4.135167;1079;1;2;0
100;1;17.78125;9;1;3.688879;1081;2;2;1
82.5;1;20.3871;7;0;4.094345;1083;1;0;1
87.5;3;15.57333;3;1;3.960813;1085;0;1;0
52.5;3;18.7375;0;0;3.688879;1087;1;1;0
67.5;3;21.08621;6;1;4.094345;1089;0;0;0
92.5;2;18.53333;6;0;3.555348;1091;0;0;0
92.5;1;18.88889;7;0;3.218876;1093;0;2;1
92.5;1;7.206897;0;0;4.212128;1095;0;4;1
57.5;3;18.35593;0;1;3.314186;1097;0;0;0
92.5;2;17.55172;8;1;3.218876;1099;0;0;0
90;2;20.40909;1;0;3.806663;1101;0;2;0
82.5;2;17.55172;8;0;3.960813;1103;0;1;0
32.5;3;10.5;7;0;2.862201;1105;0;1;0
77.5;3;18.64706;9;1;3.86073;1107;0;2;0
67.5;3;20.53846;0;1;4.135167;1109;1;1;0
80;3;17.45;4;0;3.401197;1111;0;1;0
87.5;3;18.21428;7;1;3.624341;1113;0;1;0
75;3;17.85366;7;1;4.051785;1115;0;3;0
82.5;2;19.82353;11;0;3.48124;1117;0;1;0
90;1;20.71428;11;0;3.960813;1119;0;0;1
62.5;3;19.5;8;1;4.051785;1121;1;0;0
80;2;16.85714;8;0;3.912023;1123;0;2;0
87.5;1;17.78125;7;1;3.960813;1125;0;2;1
100;1;14.70588;8;0;3.676301;1127;1;2;1
85;2;20.3871;7;0;3.86073;1129;0;2;0
75;2;16.85714;11;1;4.135167;1131;1;0;0
40;3;16.85714;5;0;4.007333;1133;1;2;0
80;2;16.85714;7;0;2.862201;1135;0;0;0
60;3;20.3871;0;1;3.86073;1137;0;1;0
80;3;17.53425;14;0;3.806663;1139;0;1;0
97.5;1;17.04545;8;1;4.317488;1141;0;2;1
90;3;21.36667;9;0;3.806663;1143;0;1;0
72.5;2;16.30952;5;0;3.960813;1145;1;0;0
100;3;17.25;0;1;3.218876;1147;0;2;0
70;3;19.16346;7;1;3.624341;1149;0;3;0
95;1;18.21053;9;0;3.540959;1151;0;2;1
57.5;3;22.25;0;0;3.555348;1153;0;0;0
82.5;3;17.17949;5;1;3.624341;1155;0;3;0
60;3;16.59524;0;0;3.86073;1157;0;2;0
77.5;3;18.35593;8;1;3.688879;1159;1;1;0
85;2;18.35593;8;0;3.912023;1161;0;0;0
57.5;3;18.35593;1;1;2.862201;1163;0;0;0
85;1;17.34783;7;0;3.48124;1165;0;0;1
87.5;3;16.56;9;0;3.218876;1167;0;0;0
65;3;15.40625;0;0;3.401197;1169;0;0;0
95;2;18.53333;6;0;4.051785;1171;0;3;0
85;3;20.46428;7;0;3.901973;1173;0;2;0
87.5;3;20.76316;9;1;4.579853;1175;0;1;0
77.5;1;18.75;2;0;2.014903;1177;1;0;1
87.5;1;17.89231;8;1;3.624341;1179;0;0;1
87.5;3;18.61628;7;0;3.749504;1181;0;1;0
87.5;2;17.63014;6;0;3.960813;1183;0;1;0
70;3;17.58333;9;1;4.094345;1185;1;1;0
87.5;3;16.40625;9;1;4.212128;1187;0;0;0
72.5;2;18.87755;8;0;3.218876;1189;0;0;0
100;1;10.01163;10;0;4.051785;1191;0;1;1
85;1;15.61446;8;1;4.094345;1193;0;0;1
80;2;17.58333;7;1;3.113515;1195;0;1;0
87.5;1;17.89231;8;0;4.051785;1197;1;2;1
92.5;1;16.02703;8;0;3.912023;1199;1;2;1
82.5;1;19.21053;11;0;3.624341;1201;0;0;1
100;3;17.89231;8;1;4.135167;1203;0;1;0
72.5;1;16.51563;10;0;4.051785;1205;0;2;1
55;3;18.44118;7;0;3.912023;1207;0;0;0
92.5;1;18.32558;8;0;3.850147;1209;1;2;1
67.5;3;17.34783;3;1;4.15104;1211;1;1;0
65;2;21.04762;5;0;4.527209;1213;2;0;0
100;1;15.81111;9;0;4.350278;1215;0;0;1
100;1;17.04545;7;1;3.806663;1217;1;1;1
40;1;19.82759;8;1;3.688879;1219;0;0;1
85;3;19.82759;3;1;3.688879;1221;0;0;0
80;3;16.96923;8;1;4.350278;1223;0;1;0
100;3;17.45918;9;1;3.960813;1225;0;1;0
82.5;2;16.41667;7;1;3.624341;1227;0;1;0
80;2;17.58333;8;1;3.555348;1229;0;0;0
65;3;16.66667;8;1;3.86073;1231;1;0;0
95;2;17.58333;7;1;4.007333;1233;1;0;0
92.5;1;13.73684;7;1;3.86073;1235;0;3;1
52.5;3;17.08333;8;1;4.317488;1237;1;1;0
55;2;13.42857;8;0;3.401197;1239;1;1;0
97.5;1;17.44118;8;1;4.412798;1241;0;1;1
30;2;16.71875;6;0;3.48124;1243;0;0;0
45;2;17.5;7;0;4.382027;1245;2;1;0
87.5;3;17.97436;0;0;3.401197;1247;1;2;0
50;3;18.41026;4;0;3.960813;1249;1;0;0
65;2;18.42857;9;0;4.051785;1251;0;1;0
95;1;15.12963;8;1;3.113515;1253;0;0;1
52.5;2;17.31193;8;0;3.749504;1255;1;3;0
77.5;3;17.28572;8;1;4.135167;1257;2;1;0
72.5;2;20.98462;7;0;2.995732;1259;0;0;0
37.5;3;18.72727;8;1;3.610918;1261;0;2;0
75;1;18.72727;8;1;3.688879;1263;0;0;1
82.5;3;18.72727;9;0;4.094345;1265;0;0;0
87.5;1;19.96875;9;1;3.806663;1267;2;1;1
52.5;2;19.96875;3;1;3.401197;1269;0;0;0
87.5;3;15.45455;8;1;3.912023;1271;0;0;0
95;2;14.69048;6;0;3.48124;1273;0;0;0
62.5;1;20.5;8;1;4.007333;1275;1;0;1
80;3;16.70886;4;1;3.806663;1277;1;2;0
90;1;10;9;0;4.094345;1279;0;0;1
55;3;17.92208;8;0;3.86073;1281;1;0;0
55;3;18.51351;0;0;3.113515;1283;0;0;0
72.5;3;19.30769;8;1;3.555348;1285;0;1;0
85;3;20.12281;5;1;3.749504;1287;0;3;0
77.5;3;16.875;7;1;3.688879;1289;2;1;0
97.5;2;15.08772;8;1;4.135167;1291;0;3;0
57.5;2;19.34;8;0;3.749504;1293;0;1;0
80;3;18.46154;8;0;3.218876;1295;0;0;0
45;3;15.81395;3;0;3.960813;1297;0;0;0
50;1;18;4;1;3.624341;1299;1;0;1
60;2;19.78261;5;0;3.86073;1301;1;1;0
65;2;13.175;2;0;3.624341;1303;0;0;0
35;3;9.857142;0;0;3.960813;1305;0;3;0
60;3;16.30952;8;1;3.624341;1307;1;2;0
57.5;3;16.30952;9;1;3.624341;1309;1;2;0
75;2;13.85714;6;0;3.624341;1311;0;1;0
92.5;2;19.86;6;0;3.401197;1313;0;1;0
87.5;1;18.78788;8;0;4.442651;1315;0;1;1
80;1;15.12963;7;1;4.212128;1317;0;1;1
90;3;13.85714;5;1;3.960813;1319;0;2;0
82.5;3;17;6;1;3.624341;1321;0;2;0
75;3;19.1875;6;1;4.135167;1323;0;1;0
62.5;2;19.82353;6;0;3.688879;1325;0;1;0
92.5;1;20.9;10;0;2.525729;1327;0;0;1
27.5;3;17.96154;2;1;3.960813;1329;3;3;0
80;1;17.76596;8;1;4.212128;1331;1;0;1
92.5;1;15.90909;9;0;3.401197;1333;0;0;1
95;1;15.90909;10;0;4.007333;1335;0;0;1
92.5;3;19.1875;8;1;3.960813;1337;0;2;0
95;1;19.1875;13;0;3.960813;1339;1;0;1
90;2;17.0274;8;0;4.212128;1341;0;1;0
97.5;2;16.07692;8;0;4.212128;1343;0;2;0
37.5;3;17.12;1;1;2.525729;1345;0;0;0
60;3;17.12;6;0;3.555348;1347;1;1;0
95;2;17.5;8;1;3.401197;1349;0;1;0
97.5;1;18.02247;8;1;3.960813;1351;0;1;1
87.5;3;17.84615;5;1;3.218876;1353;0;3;0
95;3;19.69697;3;0;3.688879;1355;2;1;0
97.5;1;19.625;9;1;4.135167;1357;1;0;1
97.5;3;18.64407;12;1;3.624341;1359;0;1;0
100;1;16.80392;10;1;3.624341;1361;1;0;1
87.5;1;19.69697;9;0;4.051785;1363;0;2;1
67.5;2;16.86364;0;0;3.433987;1365;1;1;0
40;3;18.02247;6;0;3.749504;1367;0;3;0
52.5;2;18.02247;5;0;3.688879;1369;1;1;0
72.5;3;18.02247;0;1;3.688879;1371;2;3;0
97.5;1;17.6875;8;0;4.174387;1373;1;2;1
95;3;16.07692;8;0;3.806663;1375;0;0;0
90;1;16.07692;9;1;3.401197;1377;0;0;1
100;2;19.1;6;0;3.749504;1379;0;0;0
82.5;2;20.05556;9;1;3.806663;1381;2;1;0
75;3;19.86;3;1;4.212128;1383;1;0;0
75;3;21.07692;0;1;3.806663;1385;0;4;0
77.5;2;15.73913;13;1;4.043051;1387;0;2;0
37.5;2;18.46154;0;0;4.007333;1389;3;3;0
45;3;17.89231;8;1;4.212128;1391;0;3;0
37.5;3;17.89231;7;0;3.688879;1393;0;1;0
77.5;2;17.89231;0;0;3.828641;1395;0;1;0
65;3;18.19565;6;1;4.283587;1397;1;0;0
72.5;3;19.21053;10;1;3.749504;1399;0;0;0
82.5;1;16.75676;10;0;4.579853;1401;0;1;1
80;2;17.46988;7;0;3.806663;1403;0;0;0
95;1;18.61628;5;0;4.382027;1405;0;1;1
82.5;1;20.71428;11;1;3.86073;1407;1;1;1
80;3;19.21053;7;0;3.555348;1409;0;0;0
92.5;1;16.46575;9;0;4.49981;1411;0;0;1
90;1;15.20455;11;1;4.471639;1413;2;2;1
95;3;18.46154;8;0;4.025352;1415;0;1;0
30;3;18.125;7;0;3.688879;1417;2;1;0
52.5;3;18.125;8;1;3.198673;1419;1;2;0
95;1;15.61446;7;0;4.677491;1421;0;2;1
82.5;3;17.84615;4;1;3.401197;1423;0;4;0
95;2;18.87755;8;0;3.86073;1425;0;0;0
87.5;3;19;12;1;3.113515;1427;1;0;0
25;3;18.61628;4;1;3.688879;1429;0;0;0
27.5;2;18.61628;4;0;3.688879;1431;0;0;0
82.5;3;17.84615;5;1;3.218876;1433;0;3;0
35;3;18.125;0;0;3.86073;1435;1;0;0
97.5;1;17.1;9;1;4.629863;1437;0;1;1
25;3;18.61628;5;0;2.862201;1439;1;0;0
87.5;3;17.84615;8;0;3.86073;1441;0;0;0
80;3;18.61628;7;1;3.401197;1443;0;0;0
85;3;15.89189;12;0;3.86073;1445;0;0;0
90;1;14.875;8;0;4.722953;1447;0;2;1
57.5;3;13.33333;0;0;3.314186;1449;2;2;0
82.5;2;18.94624;7;1;4.317488;1451;0;1;0
95;2;17.56863;1;0;3.555348;1453;0;1;0
45;2;14.42188;7;0;4.471639;1455;1;1;0
80;2;13.39286;8;1;4.135167;1457;1;0;0
52.5;2;18.22222;3;0;4.094345;1459;1;0;0
92.5;1;14.9;7;1;4.007333;1461;1;0;1
87.5;2;18.88889;8;1;3.624341;1463;0;0;0
77.5;3;19.01887;9;1;3.401197;1465;0;3;0
65;3;18.43333;7;1;3.749504;1467;0;4;0
27.5;3;16.75325;0;1;3.555348;1469;0;3;0
97.5;1;22.11539;9;1;4.26268;1471;0;1;1
95;1;13.67692;8;0;3.749504;1473;0;1;1
82.5;1;15.11688;9;1;4.135167;1475;2;1;1
70;2;18.82353;5;0;3.749504;1477;1;3;0
90;1;19.19403;8;1;4.283587;1479;0;0;1
75;2;18.64706;9;1;3.555348;1481;0;0;0
75;3;20.68966;2;1;3.624341;1483;1;3;0
92.5;1;15.11688;8;0;3.749504;1485;0;2;1
45;3;19.5122;8;1;4.007333;1487;0;0;0
97.5;1;16.61905;12;0;3.806663;1489;0;1;1
60;3;14.16216;4;1;3.314186;1491;1;3;0
20;2;17.47573;1;1;3.86073;1493;1;2;0
85;1;15.69048;10;0;3.749504;1495;0;3;1
52.5;2;15.69048;7;0;3.86073;1497;0;1;0
67.5;2;15.69048;7;0;3.555348;1499;0;0;0
80;3;19.56522;3;1;3.113515;1501;1;0;0
92.5;1;17.03175;10;1;3.624341;1503;0;1;1
65;3;17.59302;6;1;2.70805;1505;0;1;0
80;3;17.59302;8;1;2.60269;1507;0;1;0
85;2;17.5;6;1;4.051785;1509;0;3;0
90;3;17.5;8;1;3.86073;1511;0;1;0
55;2;14.48438;6;0;3.555348;1513;0;0;0
90;3;14.48438;5;1;3.806663;1515;1;0;0
92.5;2;17.5098;7;1;4.317488;1517;0;1;0
57.5;1;15.85366;12;1;4.317488;1519;0;1;1
82.5;1;15.91177;8;1;3.795489;1521;0;2;1
60;2;17.89744;7;0;3.749504;1523;0;0;0
92.5;1;15.81081;8;0;4.051785;1525;0;1;1
72.5;3;19.6087;3;1;3.555348;1527;1;0;0
95;1;17.94118;8;0;3.555348;1529;0;0;1
85;3;19;6;1;3.218876;1531;1;0;0
92.5;3;17.74118;9;1;4.094345;1533;0;0;0
87.5;1;14.5;10;0;4.454347;1535;0;1;1
87.5;1;17.77778;10;1;3.555348;1537;0;3;1
90;2;18.73333;8;1;3.806663;1539;0;0;0
92.5;3;17.54545;5;0;3.960813;1541;0;2;0
95;1;14.5;10;0;3.86073;1543;0;2;1
80;1;16.22222;9;1;3.314186;1545;0;1;1
65;2;16.2;7;0;3.86073;1547;0;4;0
85;3;16.4186;8;0;3.624341;1549;0;1;0
82.5;1;16.2;8;1;4.051785;1551;0;0;1
95;1;16.10526;8;1;3.912023;1553;0;0;1
95;3;15.91837;9;1;3.624341;1555;0;0;0
85;2;18.77632;8;0;3.624341;1557;1;2;0
82.5;3;18.77632;4;1;3.48124;1559;0;3;0
92.5;3;18.77632;5;0;3.48124;1561;0;1;0
92.5;3;17.34694;4;1;2.995732;1563;0;1;0
95;1;16.10526;8;1;4.051785;1565;1;0;1
72.5;3;19.75862;3;0;3.624341;1567;1;1;0
75;2;19.25;3;0;3.86073;1569;1;1;0
42.5;2;17.19403;0;0;3.624341;1571;0;2;0
32.5;3;18.46512;8;1;3.624341;1573;0;1;0
75;3;20.41379;7;1;4.174387;1575;0;2;0
57.5;2;20.41379;7;0;3.624341;1577;0;0;0
50;3;18;0;0;3.931826;1579;0;1;0
90;2;18.09333;8;0;3.48124;1581;0;0;0
85;2;15.08772;7;0;3.218876;1583;0;1;0
100;1;14.88571;8;1;4.442651;1585;0;0;1
92.5;1;18.09333;9;0;3.48124;1587;0;0;1
85;2;18.09333;5;0;3.912023;1589;0;0;0
37.5;2;17.98246;0;0;4.051785;1591;0;2;0
62.5;3;16.92308;1;1;3.401197;1593;1;2;0
90;1;17.14084;8;0;4.174387;1595;0;1;1
100;1;15.57831;10;0;3.555348;1597;0;2;1
85;2;16.18421;7;0;3.314186;1599;0;1;0
12.5;3;16.18421;2;0;3.401197;1601;1;5;0
82.5;3;16.18421;2;0;3.555348;1603;0;0;0
97.5;1;16.18421;8;1;4.051785;1605;1;1;1
92.5;1;16.04348;12;1;4.579853;1607;0;3;1
40;2;20.9375;4;0;4.174387;1609;1;0;0
25;3;17.73134;1;1;3.960813;1611;2;2;0
82.5;3;18.48837;8;1;3.401197;1613;0;2;0
75;2;17.09302;8;1;2.302585;1615;0;0;0
92.5;2;18.29787;5;0;3.401197;1617;1;1;0
92.5;2;17.45918;9;0;4.007333;1619;1;0;0
90;2;18.29787;5;1;3.749504;1621;0;3;0
75;2;18.29787;5;0;4.051785;1623;1;2;0
65;3;16.51563;2;0;3.806663;1625;1;1;0
75;3;17.95714;0;0;3.806663;1627;1;2;0
77.5;1;17.45918;10;1;4.49981;1629;1;1;1
52.5;3;15.36842;3;1;3.624341;1631;1;2;0
95;3;18.7931;7;0;3.624341;1633;0;3;0
85;3;18.46428;5;1;3.218876;1635;1;1;0
95;1;14.70588;7;0;3.806663;1637;1;1;1
82.5;2;17.09302;8;1;4.051785;1639;1;1;0
90;1;14.70588;8;0;3.749504;1641;0;1;1
30;3;17.38775;0;1;3.555348;1643;1;0;0
85;3;17.58064;9;1;3.749504;1645;1;1;0
17.5;3;16.92593;3;1;3.113515;1647;1;3;0
45;3;16.92593;5;0;3.48124;1649;0;1;0
70;2;17.45763;7;0;4.135167;1651;1;0;0
80;3;18.3;5;1;3.624341;1653;0;3;0
50;3;18.125;2;0;3.86073;1655;0;2;0
67.5;3;17.30769;6;0;3.688879;1657;2;3;0
42.5;2;17.79661;8;0;2.995732;1659;0;1;0
87.5;2;18.67347;8;0;3.960813;1661;0;1;0
97.5;1;18.12613;9;0;4.527209;1663;0;1;1
90;1;14.93103;8;0;3.624341;1665;0;0;1
55;3;13.06452;5;0;4.135167;1667;0;1;0
40;2;14.93103;0;0;3.688879;1669;2;4;0
87.5;1;18.36065;7;0;3.806663;1671;1;0;1
90;2;16.94366;7;1;4.283587;1673;1;2;0
95;3;18.38597;9;1;3.960813;1675;4;2;0
95;2;17.70909;10;0;3.951244;1677;0;2;0
70;2;14.45;8;1;4.051785;1679;0;2;0
75;2;18.04348;6;1;4.051785;1681;2;1;0
45;3;18.36065;1;0;3.314186;1683;1;1;0
75;3;19.83051;7;0;4.094345;1685;1;0;0
85;3;15.08772;8;0;3.624341;1687;1;0;0
92.5;1;15.08772;8;0;4.382027;1689;2;1;1
80;2;15.08772;8;0;3.912023;1691;1;0;0
55;1;19;8;0;4.212128;1693;0;0;1
75;2;19.96875;8;0;3.624341;1695;0;1;0
85;1;17.31193;7;1;4.382027;1697;1;0;1
80;2;17.31193;7;0;3.555348;1699;0;3;0
85;1;13.78788;10;0;3.555348;1701;0;0;1
62.5;3;20.22807;7;1;4.094345;1703;0;0;0
25;3;16.33333;0;1;4.051785;1705;2;3;0
85;1;15.39583;9;1;3.401197;1707;0;0;1
80;3;15.37143;9;1;3.48124;1709;0;0;0
27.5;3;16.33333;0;1;3.555348;1711;0;0;0
60;3;14.30986;7;0;3.48124;1713;0;3;0
35;1;15.6087;7;1;4.110874;1715;0;1;1
37.5;3;15.39583;0;1;3.48124;1717;0;4;0
62.5;2;14.65517;8;0;4.094345;1719;1;1;0
70;2;12.6;1;0;3.749504;1721;1;3;0
97.5;1;14.16216;9;0;3.113515;1723;0;0;1
77.5;3;12.6;2;1;3.218876;1725;1;0;0
45;3;15.6087;3;0;4.283587;1727;2;2;0
70;1;13.09836;7;0;3.960813;1729;0;2;1
85;3;16.33333;7;1;4.094345;1731;0;0;0
72.5;3;17.47573;9;1;3.555348;1733;0;3;0
92.5;1;14.32895;10;0;3.624341;1735;0;1;1
50;3;12.6;2;1;3.688879;1737;1;1;0
47.5;2;14.50704;5;0;3.218876;1739;1;0;0
75;1;16.06383;6;0;3.960813;1741;1;1;1
62.5;2;18.68085;0;0;3.86073;1743;2;0;0
40;3;17.78431;4;1;4.051785;1745;0;5;0
77.5;2;17.32955;7;0;3.624341;1747;0;2;0
77.5;3;16.94444;2;1;3.960813;1749;1;3;0
80;1;15.83721;11;0;3.86073;1751;1;2;1
82.5;2;18.28169;5;1;3.749504;1753;0;0;0
75;1;16.94444;6;0;3.624341;1755;0;1;1
65;3;15.71429;7;1;3.555348;1757;0;0;0
87.5;1;11.6;0;1;4.382027;1759;0;3;1
27.5;3;16.88235;4;1;3.960813;1761;1;0;0
97.5;2;18.49333;5;0;4.212128;1763;0;1;0
72.5;2;16.28205;8;1;4.283587;1765;2;0;0
55;3;16.28205;7;1;4.283587;1767;2;0;0
95;2;15.95238;4;0;4.317488;1769;1;1;0
77.5;2;16.94444;7;0;3.828641;1771;0;1;0
67.5;3;14.8254;2;1;3.912023;1773;0;1;0
55;2;16.70652;8;0;4.350278;1775;0;2;0
90;2;14.97561;7;0;4.350278;1777;1;2;0
82.5;1;16.94366;8;1;3.749504;1779;1;1;1
80;2;16.28205;8;1;3.555348;1781;0;0;0
90;1;15.21311;9;1;4.579853;1783;0;0;1
85;1;11.18519;2;0;4.382027;1785;1;2;1
42.5;3;17.66667;0;1;3.688879;1787;0;0;0
57.5;3;16.59575;0;1;4.135167;1789;1;5;0
80;1;13.54286;6;0;4.471639;1791;0;2;1
87.5;1;13.54286;8;1;3.555348;1793;0;0;1
97.5;3;17.94118;7;1;3.86073;1795;0;1;0
35;1;16.51613;5;1;3.86073;1797;0;1;1
32.5;2;18.7931;2;0;3.806663;1799;0;0;0
82.5;2;17.45918;9;0;3.713572;1801;0;1;0
92.5;3;17.45918;8;1;3.555348;1803;0;2;0
52.5;3;19.06667;3;0;3.314186;1805;0;0;0
80;3;18.7931;7;1;3.401197;1807;0;3;0
85;2;18.53125;7;0;3.86073;1809;0;1;0
92.5;2;16.51563;9;1;3.806663;1811;0;1;0
72.5;3;16.91667;5;0;3.86073;1813;0;0;0
80;2;18.29787;5;1;3.48124;1815;1;0;0
70;3;18.11111;5;1;3.901973;1817;0;2;0
57.5;3;18.53125;7;1;3.86073;1819;0;1;0
85;3;13.78182;12;1;4.007333;1821;0;0;0
80;3;17.19403;4;1;3.86073;1823;1;1;0
70;2;16.66667;9;0;3.624341;1825;0;0;0
90;2;18.46512;5;0;4.007333;1827;1;0;0
85;3;17.57143;9;1;4.051785;1829;2;0;0
67.5;2;19.375;2;0;3.688879;1831;0;2;0
60;2;17.32955;8;0;3.48124;1833;0;1;0
70;3;19.10112;9;0;2.862201;1835;0;0;0
90;1;14.6413;8;0;3.86073;1837;0;0;1
62.5;3;17.46667;6;0;3.48124;1839;0;2;0
92.5;1;13.93548;9;0;4.007333;1841;0;2;1
45;3;18.07692;0;0;3.749504;1843;0;2;0
77.5;1;14.97561;9;0;4.051785;1845;0;2;1
85;1;21.42857;12;0;4.454347;1847;0;1;1
95;3;17.19403;5;1;4.283587;1849;1;0;0
77.5;1;21.42857;5;1;4.212128;1851;1;0;1
67.5;2;17.31579;8;0;4.007333;1853;2;0;0
80;2;17.31579;8;0;4.007333;1855;2;0;0
37.5;3;16.60294;2;0;4.248495;1857;0;0;0
85;1;16.15;9;0;3.48124;1859;0;0;1
80;1;17.31579;7;0;3.806663;1861;1;5;1
70;2;17.90588;6;0;3.806663;1863;1;0;0
82.5;3;20.08696;0;0;3.688879;1865;1;0;0
60;3;15.08772;7;0;3.688879;1867;0;0;0
60;1;14.45;6;1;3.48124;1869;0;0;1
67.5;3;18.38597;9;1;3.688879;1871;0;3;0
90;3;13.9881;7;0;3.624341;1873;0;0;0
87.5;1;14.88571;8;1;4.212128;1875;0;0;1
70;2;14.45;7;0;4.007333;1877;1;0;0
72.5;3;14.37805;5;0;3.86073;1879;0;2;0
82.5;1;14.37805;9;0;3.688879;1881;0;3;1
50;2;17.64865;0;0;3.960813;1883;1;2;0
87.5;1;15.625;8;1;3.218876;1885;0;1;1
87.5;1;13.9881;8;1;3.912023;1887;0;4;1
50;2;16.73333;6;0;3.688879;1889;0;0;0
67.5;2;14.88235;6;0;3.749504;1891;0;1;0
72.5;1;14.45;3;0;3.912023;1893;0;1;1
92.5;1;16.11539;6;1;3.555348;1895;1;2;1
90;2;18.36065;6;1;4.212128;1897;0;1;0
85;1;15.72222;7;1;3.86073;1899;0;2;1
90;2;16.16;9;1;4.283587;1901;1;0;0
92.5;2;14.88571;8;1;4.051785;1903;0;2;0
47.5;3;20.28572;0;1;3.912023;1905;1;4;0
85;3;16.16667;4;0;3.86073;1907;1;3;0
87.5;2;19.83051;7;1;3.749504;1909;0;2;0
82.5;1;17.32394;6;0;3.86073;1911;0;1;1
25;3;16.16667;6;1;3.688879;1913;0;0;0
70;2;14.31034;7;0;3.960813;1915;0;4;0
87.5;1;17.34694;8;1;0.9162908;1917;0;0;1
90;1;14.45;4;1;2.995732;1919;1;1;1
95;2;13.66667;8;0;3.48124;1921;0;0;0
90;3;14.68421;4;0;3.401197;1923;0;0;0
80;2;17.27083;6;1;4.629863;1925;0;1;0
57.5;2;17.64865;2;0;3.624341;1927;0;1;0
97.5;1;13.9881;7;0;4.766438;1929;2;1;1
32.5;2;17.32394;2;0;3.113515;1931;1;0;0
45;2;15.14563;5;0;3.624341;1933;2;1;0
95;2;15.14563;6;0;3.314186;1935;0;1;0
77.5;1;15.21739;6;0;3.48124;1937;0;2;1
17.5;3;10.3125;0;1;3.86073;1939;2;4;0
87.5;3;17.32394;7;1;3.86073;1941;0;2;0
77.5;2;14.31034;8;0;4.212128;1943;1;0;0
72.5;1;11.16129;8;1;4.007333;1945;0;1;1
77.5;1;20.55556;8;1;3.749504;1947;0;2;1
82.5;1;18.04951;8;1;3.795489;1949;0;2;1
75;2;14.68421;8;0;3.86073;1951;0;0;0
72.5;2;16.94118;6;0;4.212128;1953;0;3;0
92.5;2;14.88235;7;1;4.135167;1955;0;1;0
95;1;13.66667;9;0;4.317488;1957;0;0;1
90;1;17.30769;8;0;4.051785;1959;1;0;1
87.5;1;17.30769;7;1;4.382027;1961;0;2;1
65;3;17.82857;6;1;4.350278;1963;0;0;0
97.5;2;17.5;6;0;4.579853;1965;1;0;0
70;2;18.79245;8;0;2.862201;1967;0;0;0
87.5;2;18.125;12;0;2.862201;1969;0;0;0
90;1;17.09302;10;0;3.688879;1971;0;0;1
27.5;3;18.79245;2;0;3.555348;1973;1;2;0
90;1;14.93103;11;0;3.688879;1975;0;0;1
27.5;3;18.15686;0;1;4.007333;1977;1;2;0
90;2;17.15152;4;0;3.583519;1979;1;1;0
82.5;3;18.03773;1;1;3.951244;1981;1;2;0
22.5;2;18.78049;0;0;4.350278;1983;0;3;0
80;3;8.2;8;1;3.583519;1985;0;1;0
62.5;1;18.06667;11;1;4.043051;1987;0;7;1
15;3;17.84058;5;0;3.555348;1989;1;2;0
80;3;16.66667;4;0;2.970414;1991;0;2;0
87.5;1;19.55556;10;1;3.433987;1993;0;1;1
62.5;3;15.57831;3;1;3.806663;1995;0;0;0
95;2;16.66667;10;1;3.349904;1997;0;1;0
70;2;17.14084;7;0;4.412798;1999;0;2;0
90;3;17.78378;3;0;4.174387;2001;0;0;0
92.5;1;15.57831;8;0;3.749504;2003;1;0;1
85;1;15.25263;8;1;4.350278;2005;2;2;1
92.5;1;18.78049;17;0;4.007333;2007;0;0;1
80;1;15.97222;9;1;4.051785;2009;1;1;1
92.5;1;17.21212;8;1;4.051785;2011;0;1;1
97.5;2;19.45714;12;1;3.806663;2013;0;1;0
75;2;17.15152;5;0;4.174387;2015;0;0;0
87.5;1;10.3125;10;1;4.297286;2017;0;1;1
85;1;15.48387;10;0;4.135167;2019;1;0;1
85;1;16.23288;10;0;3.583519;2021;0;1;1
95;1;18.22388;8;0;2.251292;2023;0;2;1
72.5;2;14.30952;7;0;3.86073;2025;1;2;0
85;2;16.96552;7;0;4.283587;2027;0;1;0
40;3;17.14084;8;1;3.86073;2029;0;2;0
32.5;2;15.48387;6;0;3.912023;2031;0;3;0
77.5;2;14.8;7;0;3.960813;2033;1;3;0
90;2;20.18;8;1;4.135167;2035;0;1;0
